NAME,NAME.id,LOCATION.x,LOCATION.y,POSITION,SHAPE.length,SHAPE.orientation,SHAPE.width
b8586,c81a35b3-13c3-4237-9565-c54ab7df3259,164.7683,63.287727,5,15.698785,71.8882,5.4994245
b8666,3f4c82b6-cc7b-48d8-b885-e4600788373c,165.32753,62.907845,6,15.769226,72.08653,5.8139534
b8436,acf43468-05ba-45a2-a4cc-0f0ba7c95ae4,172.59637,70.64028,3,12.330752,38.931263,4.294906
b8509,b5e3c917-8ca5-4d50-a3d5-ef2bb6a39923,171.68066,71.42259,4,11.318711,35.34063,4.538154
b8592,92dd1b9e-afe6-4bd9-9a5b-7b3c79c2134b,173.03728,70.4481,5,12.097833,35.311184,3.9870129
b8674,7e579b51-7c95-41e2-ad0f-365e74b4e1d3,173.52393,70.137115,6,12.39688,35.78425,4.010369
b8438,6d2036cd-96ea-475e-8e55-2095b08069d1,181.55481,55.334557,3,14.199635,105.39895,6.50724
b8512,6f6c2b45-2019-42fb-8cf4-70383a533014,180.44958,55.807438,4,14.476132,102.413284,5.6725087
b8595,6a7605da-d108-4443-b03d-fb3ba3d20e45,181.19957,54.944992,5,14.1511755,99.476585,6.17299
b8678,92f8aeb2-e2da-4a79-8c24-9dad99b4012a,182.04414,54.58726,6,14.294746,93.2306,6.0102773
b8441,e221544a-8dd8-4594-8005-ca1fec35791e,182.55829,69.900314,3,14.801401,36.869843,5.9638314
b8517,ee6a15ad-4c57-47b7-89de-5f1d7d1a4199,181.90399,70.28714,4,14.542607,36.469093,5.973881
b8598,61870c12-41c3-46a8-8186-52b5d86ee67e,183.23396,69.4277,5,14.134394,33.48054,4.9344845
b8686,11512f55-eb15-44ec-8b1e-4103c5db4739,183.86086,68.64645,6,14.981999,34.2155,5.8950815
b8444,27475600-3abd-4dd4-861b-b9bf49e0a97e,196.36873,73.978645,3,16.955498,96.33248,5.903554
b8522,4b62a69a-9dc0-4cdb-881a-f00a7b2d4566,195.84938,74.17675,4,16.598063,94.47676,5.9561167
b8601,0f518e2d-da69-495f-9272-e58c9e16dc8f,197.094,73.788414,5,17.046427,93.73692,5.7403626
b8691,278ca879-133d-4807-984d-fa61ae6d7694,197.60443,73.17495,6,17.614012,92.05399,5.738461
b8446,bd68f579-e567-4f28-9c20-9f08e94f9ff8,195.24611,62.71996,3,10.725791,129.865,4.961586
b8523,702238a0-154a-4802-afb5-dc3c6b19bd9b,194.50078,62.866993,4,10.334021,130.99968,4.9720564
b8604,f01ea831-0185-4778-bb1f-37f4415b936d,195.41852,61.917484,5,10.543484,133.8819,5.0297875
b8697,f1dd75b9-e825-4d5b-87b5-c5b2c7e07354,196.30612,61.157196,6,10.96222,135.98926,4.820155
b8447,db03a778-aeb1-4a85-be3f-373c7dc91fc1,208.07982,64.96935,3,26.123758,153.29684,5.3536463
b8527,24313275-6f29-4812-9992-e065697c7d0e,207.22734,65.49989,4,26.421297,151.96474,5.214246
b8609,189a6e69-21a3-459d-a00b-96823d212551,208.43974,64.79051,5,27.112753,150.94543,5.525401
b8699,620b5a35-f660-490c-8f4e-d9d93367c03d,209.17044,64.436775,6,26.64452,150.08104,5.135078
b8450,c3532476-d391-4720-9b81-fe8f18d19cd3,222.02008,56.292183,3,19.854437,89.05655,4.939403
b8533,0ea990f7-9360-4efd-8529-12706f6f9810,221.31963,56.939087,4,19.347067,88.765045,5.721611
b8613,a762631c-4959-4fb3-84a8-bab4f1673342,222.19699,56.000195,5,19.872293,88.93916,5.8796587
b8704,932d9724-1802-4f20-82aa-a3a075c36585,222.69826,55.981594,6,19.724625,89.871414,6.0272083
b8454,3343da1e-a6b0-4f28-bb7b-4e846f18172e,221.95103,70.63694,3,16.964525,135.28607,5.9777856
b8534,266aa2db-347a-4841-8e61-64d37913ccb8,221.74286,70.90821,4,17.48159,133.69275,5.690578
b8616,fc855806-0e5a-4d66-a004-690bddba58da,223.04707,70.392586,5,18.052937,132.6122,5.5294895
b8706,12753618-24be-4044-b360-c744ac18605d,223.46783,69.855736,6,17.553812,135.11838,5.6833205
b8459,0b03c852-a4b3-4bf1-89bf-c9b83bea95bf,234.61237,70.46783,3,20.079199,128.73149,5.7052107
b8539,89da8bd7-3f9d-4843-9e7d-54305f13a02c,234.27502,70.957985,4,19.98736,127.848274,6.162833
b8617,5bb00c74-6d28-4cdd-ba78-2ef939a90b67,235.925,70.4578,5,21.163631,127.99865,5.579571
b8731,da9fc2ec-d675-4d02-9f32-1da0f7ab31dc,236.80367,70.1599,6,21.1763,127.40854,5.7606616
b8461,33052774-a939-4d2b-a4b8-a28101b2fa7a,241.45197,64.7207,3,14.640162,126.56475,6.3802137
b8542,71d1ff25-f9ad-491b-a153-c5daa7460abf,241.88123,63.81293,4,15.040761,113.07042,5.7054467
